,Travel & Transport,Travel & Transport,سفر و حمل و نقل,سفر و حمل و نقل
,Shop & Service,Shops & Services,فروشگاه و خدمات,مغازه ها و خدمات
,Art & Entertainment,Arts & Entertainment,هنر و سرگرمی,هنر و سرگرمی‎ها
,Outdoors & Recreation,Outdoors & Recreation,تفریح خارج از منزل,تفریحات خارج از منزل
,Event,Events,مناسبت,مناسبت ها
,Food,Foods,غذا,رستورانها
,College & University,Colleges & Universities,دانشگاه و موسسه,دانشگاه ها و موسسات
Airports,Airport Food Court,Airport Food Courts,فود کرت فرودگاه,فود کرت فرودگاه ها
Airports,Airport Terminal,Airport Terminals,ترمینال فرودگاه,ترمینال های فرودگاه
Airports,Airport Service,Airport Services,خدمت فرودگاه,خدمت فرودگاه
Arts & Entertainment,Historic Site,Historic Sites,مکان تاریخی,مکان های تاریخی
Arts & Entertainment,Memorial Site,Memorial Sites,مکان های به یاد ماندنی,مکان های به یاد ماندنی
Arts & Entertainment,Mini Golf,Mini Golf Courses,مینی گلف,دوره های مینی گلف
Arts & Entertainment,Movie Theater,Movie Theaters,سینما,سینما ها
Arts & Entertainment,Museum,Museums,موزه,موزه ها
Arts & Entertainment,Performing Arts Venue,Performing Arts Venues,محل برگزاری هنرهای نمایشی,محل های برگزاری هنرهای نمایشی
Arts & Entertainment,Aquarium,Aquariums,آکواریوم,آکواریوم‎ها
Arts & Entertainment,Outdoor Sculpture,Outdoor Sculptures,مجسمه سازی در فضای باز,مجسمه های فضای باز
Arts & Entertainment,Street Art,Street Art Installations,هنر خیابانی,آثار هنری خیابانی
Arts & Entertainment,Racetrack,Racetracks,پیست مسابقه,پیست های مسابقه
Arts & Entertainment,Roller Rink,Roller Rinks,اسکیت رولر رینک,اسکیت‎ رولر رینک
Arts & Entertainment,Stadium,Stadiums,ورزشگاه,استادیوم ها
Arts & Entertainment,Concert Hall,Concert Halls,سالن کنسرت,سالن های کنسرت
Arts & Entertainment,Theme Park,Theme Parks,شهربازی,شهربازی ها
Arts & Entertainment,Tour Provider,Tour Providers,تور و گشت,تورهای گشت
Arts & Entertainment,Water Park,Water Parks,پارک آبی,پارک های آب
